Algusaeg,Lõppaeg,Kaloreid (kcal),Kaugus (m),Minimaalne laiuskraad (kraadi),Minimaalne pikkuskraad (kraadi),Maksimaalne laiuskraad (kraadi),Maksimaalne pikkuskraad (kraadi),Keskmine kiirus (m/s),Max kiirus (m/s),Min kiirus (m/s),Sammuloend,Keskmine kaal (kg),Max kaal (kg),Min kaal (kg),Inaktiivsus kestus (ms)
00:00:00.000+02:00,00:15:00.000+02:00,15.854166264948095,,,,,,,,,,,,,900000
00:15:00.000+02:00,00:30:00.000+02:00,15.854166264948095,,,,,,,,,,,,,900000
00:30:00.000+02:00,00:45:00.000+02:00,15.854166264948095,,,,,,,,,,,,,900000
00:45:00.000+02:00,01:00:00.000+02:00,15.854166264948095,,,,,,,,,,,,,900000
01:00:00.000+02:00,01:15:00.000+02:00,15.854166264948095,,,,,,,,,,,,,900000
01:15:00.000+02:00,01:30:00.000+02:00,15.854166264948095,,,,,,,,,,,,,900000
01:30:00.000+02:00,01:45:00.000+02:00,15.854166264948095,,,,,,,,,,,,,900000
01:45:00.000+02:00,02:00:00.000+02:00,15.854166264948095,,,,,,,,,,,,,900000
02:00:00.000+02:00,02:15:00.000+02:00,15.854166264948095,,,,,,,,,,,,,900000
02:15:00.000+02:00,02:30:00.000+02:00,15.854166264948095,,,,,,,,,,,,,900000
02:30:00.000+02:00,02:45:00.000+02:00,15.854166264948095,,,,,,,,,,,,,900000
02:45:00.000+02:00,03:00:00.000+02:00,15.854166264948095,,,,,,,,,,,,,900000
03:00:00.000+02:00,03:15:00.000+02:00,15.854166264948095,,,,,,,,,,,,,900000
03:15:00.000+02:00,03:30:00.000+02:00,15.854166264948095,,,,,,,,,,,,,900000
03:30:00.000+02:00,03:45:00.000+02:00,15.854166264948095,,,,,,,,,,,,,900000
03:45:00.000+02:00,04:00:00.000+02:00,15.854166264948095,,,,,,,,,,,,,900000
04:00:00.000+02:00,04:15:00.000+02:00,15.854166264948095,,,,,,,,,,,,,900000
04:15:00.000+02:00,04:30:00.000+02:00,15.854166264948095,,,,,,,,,,,,,900000
04:30:00.000+02:00,04:45:00.000+02:00,15.854166264948095,,,,,,,,,,,,,900000
04:45:00.000+02:00,05:00:00.000+02:00,15.854166264948095,,,,,,,,,,,,,900000
05:00:00.000+02:00,05:15:00.000+02:00,15.854166264948095,,,,,,,,,,,,,900000
05:15:00.000+02:00,05:30:00.000+02:00,15.854166264948095,,,,,,,,,,,,,900000
05:30:00.000+02:00,05:45:00.000+02:00,15.854166264948095,,,,,,,,,,,,,900000
